Prompt_ID,Input_Token_Length,Context_Size,Token_Index_k,Per_Token_Latency_ms
4bb64f34-2e41-4c0d-a887-e02904105893,14,123,110,404.9410339999895
4bb64f34-2e41-4c0d-a887-e02904105893,14,124,111,407.15933900003165
4bb64f34-2e41-4c0d-a887-e02904105893,14,125,112,406.97678900005485
4bb64f34-2e41-4c0d-a887-e02904105893,14,126,113,407.5063949999276
4bb64f34-2e41-4c0d-a887-e02904105893,14,127,114,415.0304109999752
4bb64f34-2e41-4c0d-a887-e02904105893,14,128,115,412.62463000009575
4bb64f34-2e41-4c0d-a887-e02904105893,14,129,116,445.2785389999008
4bb64f34-2e41-4c0d-a887-e02904105893,14,130,117,438.1870010000739
4bb64f34-2e41-4c0d-a887-e02904105893,14,131,118,447.68703499994444
4bb64f34-2e41-4c0d-a887-e02904105893,14,132,119,444.43769400004385
4bb64f34-2e41-4c0d-a887-e02904105893,14,133,120,443.90997499999685
4bb64f34-2e41-4c0d-a887-e02904105893,14,134,121,456.0023489999594
4bb64f34-2e41-4c0d-a887-e02904105893,14,135,122,444.1912820000198
4bb64f34-2e41-4c0d-a887-e02904105893,14,136,123,448.019080999984
4bb64f34-2e41-4c0d-a887-e02904105893,14,137,124,442.300629999977
4bb64f34-2e41-4c0d-a887-e02904105893,14,138,125,450.28823100005866
4bb64f34-2e41-4c0d-a887-e02904105893,14,139,126,456.98023599993576
4bb64f34-2e41-4c0d-a887-e02904105893,14,140,127,486.9880490000469
4bb64f34-2e41-4c0d-a887-e02904105893,14,141,128,486.9354639999983
44555c7f-6d35-47b6-8df4-cededda8aad5,18,18,1,334.4719619999523
44555c7f-6d35-47b6-8df4-cededda8aad5,18,19,2,380.48867300005895
44555c7f-6d35-47b6-8df4-cededda8aad5,18,20,3,369.80767900001865
44555c7f-6d35-47b6-8df4-cededda8aad5,18,21,4,283.22012399996765
44555c7f-6d35-47b6-8df4-cededda8aad5,18,22,5,286.8085840000276
44555c7f-6d35-47b6-8df4-cededda8aad5,18,23,6,302.8598899999224
44555c7f-6d35-47b6-8df4-cededda8aad5,18,24,7,290.6884250000985
44555c7f-6d35-47b6-8df4-cededda8aad5,18,25,8,308.1498770000053
44555c7f-6d35-47b6-8df4-cededda8aad5,18,26,9,307.10041899999396
44555c7f-6d35-47b6-8df4-cededda8aad5,18,27,10,304.5644839999113
44555c7f-6d35-47b6-8df4-cededda8aad5,18,28,11,310.4056140000466
44555c7f-6d35-47b6-8df4-cededda8aad5,18,29,12,319.3524719999914
44555c7f-6d35-47b6-8df4-cededda8aad5,18,30,13,311.3208610000129
44555c7f-6d35-47b6-8df4-cededda8aad5,18,31,14,311.3045830000374
44555c7f-6d35-47b6-8df4-cededda8aad5,18,32,15,314.2212779999909
44555c7f-6d35-47b6-8df4-cededda8aad5,18,33,16,327.43915599996853
44555c7f-6d35-47b6-8df4-cededda8aad5,18,34,17,313.5313870000118
44555c7f-6d35-47b6-8df4-cededda8aad5,18,35,18,316.53442300000734
44555c7f-6d35-47b6-8df4-cededda8aad5,18,36,19,336.22571299997617
44555c7f-6d35-47b6-8df4-cededda8aad5,18,37,20,325.17683300000044
44555c7f-6d35-47b6-8df4-cededda8aad5,18,38,21,326.07388400003856
44555c7f-6d35-47b6-8df4-cededda8aad5,18,39,22,330.2984019999258
44555c7f-6d35-47b6-8df4-cededda8aad5,18,40,23,324.34827100007624
44555c7f-6d35-47b6-8df4-cededda8aad5,18,41,24,325.52744399993117
44555c7f-6d35-47b6-8df4-cededda8aad5,18,42,25,333.7345490000416
44555c7f-6d35-47b6-8df4-cededda8aad5,18,43,26,329.3320819999508
44555c7f-6d35-47b6-8df4-cededda8aad5,18,44,27,327.99030300009235
44555c7f-6d35-47b6-8df4-cededda8aad5,18,45,28,335.76280999989194
44555c7f-6d35-47b6-8df4-cededda8aad5,18,46,29,342.0172320001029
44555c7f-6d35-47b6-8df4-cededda8aad5,18,47,30,335.0553299999319
44555c7f-6d35-47b6-8df4-cededda8aad5,18,48,31,345.89471599997523
44555c7f-6d35-47b6-8df4-cededda8aad5,18,49,32,342.87449200007813
44555c7f-6d35-47b6-8df4-cededda8aad5,18,50,33,345.6622399999105
44555c7f-6d35-47b6-8df4-cededda8aad5,18,51,34,346.9632100000126
44555c7f-6d35-47b6-8df4-cededda8aad5,18,52,35,415.24981600002775
44555c7f-6d35-47b6-8df4-cededda8aad5,18,53,36,393.1943999999703
44555c7f-6d35-47b6-8df4-cededda8aad5,18,54,37,402.8185619999931
44555c7f-6d35-47b6-8df4-cededda8aad5,18,55,38,395.59746700001597
44555c7f-6d35-47b6-8df4-cededda8aad5,18,56,39,417.84461600002487
44555c7f-6d35-47b6-8df4-cededda8aad5,18,57,40,417.27544599996236
44555c7f-6d35-47b6-8df4-cededda8aad5,18,58,41,351.4227040000151
44555c7f-6d35-47b6-8df4-cededda8aad5,18,59,42,362.2163410000212
44555c7f-6d35-47b6-8df4-cededda8aad5,18,60,43,353.1070169999566
44555c7f-6d35-47b6-8df4-cededda8aad5,18,61,44,349.4557960000293
44555c7f-6d35-47b6-8df4-cededda8aad5,18,62,45,364.02544200007014
44555c7f-6d35-47b6-8df4-cededda8aad5,18,63,46,356.8368929999224
44555c7f-6d35-47b6-8df4-cededda8aad5,18,64,47,358.46208899999965
44555c7f-6d35-47b6-8df4-cededda8aad5,18,65,48,364.97160400006123
44555c7f-6d35-47b6-8df4-cededda8aad5,18,66,49,380.4316129999279
